"","host_response_time","host_has_profile_pic","host_identity_verified","neighbourhood_cleansed","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","security_deposit","cleaning_fee","guests_included","number_of_reviews","review_scores_rating","cancellation_policy","reviews_per_month","price"
"96","within an hour",TRUE,TRUE,"Bos en Lommer","Apartment","Private room",2,1,1,1,"Real Bed",100,25,2,19,91,"moderate",0.2,99
"97","within an hour",TRUE,TRUE,"De Baarsjes - Oud-West","Houseboat","Entire home/apt",4,1,2,2,"Real Bed",200,70,2,198,94,"strict_14_with_grace_period",2.05,170
"98","within an hour",TRUE,TRUE,"De Baarsjes - Oud-West","Apartment","Entire home/apt",2,1.5,1,2,"Real Bed",250,30,2,125,94,"flexible",1.3,100
"99","within a day",TRUE,TRUE,"De Baarsjes - Oud-West","Apartment","Private room",3,1,1,2,"Real Bed",300,35,2,91,97,"moderate",0.94,130
"100","N/A",TRUE,TRUE,"Centrum-West","Condominium","Entire home/apt",4,1,2,2,"Real Bed",0,0,2,16,91,"strict_14_with_grace_period",0.18,125
"101","N/A",TRUE,TRUE,"Centrum-West","Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",250,25,2,2,100,"strict_14_with_grace_period",0.04,175
"102","within an hour",TRUE,FALSE,"De Pijp - Rivierenbuurt","Apartment","Entire home/apt",4,1,1,2,"Real Bed",0,75,2,132,96,"strict_14_with_grace_period",1.4,124
"103","within an hour",TRUE,FALSE,"Centrum-West","Guest suite","Private room",4,1.5,2,3,"Real Bed",0,120,4,75,96,"strict_14_with_grace_period",0.83,400
"104","within a few hours",TRUE,TRUE,"De Baarsjes - Oud-West","Apartment","Private room",2,1,1,1,"Real Bed",0,0,2,332,97,"moderate",3.48,119
"105","within a day",TRUE,TRUE,"De Pijp - Rivierenbuurt","Apartment","Entire home/apt",4,1,2,2,"Real Bed",250,45,2,37,94,"strict_14_with_grace_period",0.39,120
"106","within an hour",TRUE,FALSE,"Oostelijk Havengebied - Indische Buurt","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,20,2,155,92,"strict_14_with_grace_period",1.63,70
"107","within a few hours",TRUE,TRUE,"Centrum-Oost","House","Entire home/apt",4,2,3,4,"Real Bed",250,50,1,9,97,"strict_14_with_grace_period",0.1,385
"108","within an hour",TRUE,FALSE,"Centrum-West","Bed and breakfast","Hotel room",2,1,1,1,"Real Bed",300,35,1,397,97,"strict_14_with_grace_period",4.24,149
"109","within an hour",TRUE,TRUE,"Centrum-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",0,30,2,86,97,"moderate",0.91,193
"110","within a day",TRUE,FALSE,"Centrum-Oost","Bed and breakfast","Private room",2,1,1,1,"Real Bed",0,0,1,74,98,"strict_14_with_grace_period",1.4,149
"111","within an hour",TRUE,TRUE,"Centrum-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,40,1,46,98,"strict_14_with_grace_period",0.6,250
"112","within an hour",TRUE,FALSE,"De Pijp - Rivierenbuurt","Apartment","Private room",4,1,2,2,"Real Bed",100,50,2,61,97,"strict_14_with_grace_period",0.68,150
"113","within a day",TRUE,FALSE,"De Baarsjes - Oud-West","Apartment","Entire home/apt",5,2,4,6,"Real Bed",0,60,4,7,91,"strict_14_with_grace_period",0.09,168
"115","within a few hours",TRUE,TRUE,"Zuid","Apartment","Private room",2,1,1,1,"Real Bed",250,30,2,117,96,"strict_14_with_grace_period",1.29,88
"116","N/A",TRUE,TRUE,"De Baarsjes - Oud-West","Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",100,75,2,22,94,"strict_14_with_grace_period",0.23,85
"117","within an hour",TRUE,TRUE,"Bos en Lommer","Apartment","Private room",2,1,1,1,"Real Bed",0,25,1,197,98,"strict_14_with_grace_period",2.22,70
"118","N/A",TRUE,TRUE,"Zuid","Apartment","Entire home/apt",2,1,1,1,"Real Bed",300,45,2,6,100,"strict_14_with_grace_period",0.12,120
"119","within a day",TRUE,TRUE,"Bos en Lommer","Condominium","Entire home/apt",2,1,1,1,"Real Bed",200,40,2,43,97,"moderate",0.46,125
"120","within a day",TRUE,FALSE,"De Pijp - Rivierenbuurt","Apartment","Entire home/apt",2,1,1,1,"Real Bed",500,50,2,22,97,"strict_14_with_grace_period",0.26,169
"121","N/A",TRUE,FALSE,"De Baarsjes - Oud-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",0,0,2,20,98,"strict_14_with_grace_period",0.23,125
"122","N/A",TRUE,TRUE,"Zuid","Apartment","Entire home/apt",3,1.5,2,3,"Real Bed",0,30,2,3,100,"strict_14_with_grace_period",0.04,115
"123","within an hour",TRUE,TRUE,"Zuid","Apartment","Entire home/apt",12,1.5,5,12,"Real Bed",0,50,4,102,92,"strict_14_with_grace_period",1.13,650
"124","within an hour",TRUE,FALSE,"Centrum-West","Apartment","Entire home/apt",4,1,2,2,"Real Bed",100,55,2,43,88,"strict_14_with_grace_period",0.46,105
"125","within a day",TRUE,FALSE,"Centrum-Oost","Bed and breakfast","Private room",4,1,1,1,"Real Bed",0,0,2,16,97,"strict_14_with_grace_period",0.17,115
"126","N/A",TRUE,FALSE,"Geuzenveld - Slotermeer","Apartment","Entire home/apt",4,1,1,1,"Real Bed",0,20,2,1,100,"moderate",0.43,80
"127","within an hour",TRUE,TRUE,"Centrum-West","Apartment","Private room",2,1,1,1,"Real Bed",0,0,1,265,98,"strict_14_with_grace_period",2.86,150
"128","within an hour",TRUE,TRUE,"Centrum-West","Bed and breakfast","Hotel room",2,1,0,1,"Pull-out Sofa",100,35,1,209,95,"strict_14_with_grace_period",2.24,90
"129","within an hour",TRUE,TRUE,"Centrum-West","Apartment","Private room",2,1,1,1,"Real Bed",0,0,1,303,97,"strict_14_with_grace_period",3.29,150
"130","N/A",TRUE,TRUE,"Watergraafsmeer","House","Private room",2,1,1,1,"Real Bed",200,25,1,8,93,"strict_14_with_grace_period",0.09,95
"132","within a day",TRUE,TRUE,"Oud-Noord","Apartment","Private room",2,1,1,1,"Real Bed",400,40,2,25,95,"strict_14_with_grace_period",0.28,105
"133","N/A",TRUE,TRUE,"Oud-Noord","House","Entire home/apt",3,1,2,3,"Real Bed",0,0,1,5,92,"flexible",0.09,74
"135","N/A",TRUE,FALSE,"Centrum-West","Apartment","Entire home/apt",4,1,1,2,"Real Bed",200,30,2,83,96,"moderate",0.89,125
"136","N/A",TRUE,TRUE,"Centrum-West","Apartment","Entire home/apt",5,1,2,3,"Real Bed",400,45,3,14,97,"moderate",0.15,126
"137","within a day",TRUE,FALSE,"Centrum-West","Bed and breakfast","Private room",2,1.5,1,2,"Real Bed",0,0,2,70,94,"strict_14_with_grace_period",0.77,140
"138","within a day",TRUE,FALSE,"Centrum-West","Apartment","Entire home/apt",3,1,1,1,"Real Bed",200,30,1,87,94,"moderate",0.94,165
"139","within an hour",TRUE,FALSE,"Centrum-West","Guest suite","Entire home/apt",4,1,2,2,"Real Bed",500,95,4,3,93,"strict_14_with_grace_period",0.08,550
"140","within a few hours",TRUE,FALSE,"Westerpark","Apartment","Entire home/apt",4,1,1,4,"Real Bed",200,75,2,155,98,"moderate",1.71,275
"141","within an hour",TRUE,FALSE,"Centrum-Oost","Apartment","Entire home/apt",4,1.5,2,2,"Real Bed",0,35,1,18,94,"strict_14_with_grace_period",0.21,195
"142","within an hour",TRUE,TRUE,"Centrum-Oost","Apartment","Entire home/apt",3,1.5,2,2,"Real Bed",100,40,2,6,100,"strict_14_with_grace_period",0.07,130
"143","within a few hours",TRUE,TRUE,"Westerpark","Boat","Entire home/apt",16,2,10,16,"Real Bed",200,0,8,95,97,"strict_14_with_grace_period",1.11,464
"145","within an hour",TRUE,FALSE,"Oud-Noord","Villa","Entire home/apt",2,1.5,1,2,"Real Bed",100,65,2,66,90,"strict_14_with_grace_period",0.84,135
"146","N/A",TRUE,TRUE,"De Baarsjes - Oud-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",250,25,2,28,96,"strict_14_with_grace_period",0.35,169
"147","within a day",TRUE,TRUE,"Centrum-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",350,45,2,78,95,"strict_14_with_grace_period",0.87,250
"148","N/A",TRUE,TRUE,"De Baarsjes - Oud-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",300,30,1,60,94,"strict_14_with_grace_period",0.84,100
"149","within a day",TRUE,FALSE,"Centrum-Oost","Bed and breakfast","Private room",2,1,1,1,"Real Bed",0,0,2,9,100,"strict_14_with_grace_period",0.17,115
"150","within an hour",TRUE,TRUE,"De Baarsjes - Oud-West","Apartment","Entire home/apt",2,1,1,1,"Real Bed",0,40,2,46,98,"moderate",0.51,111
"151","within a few hours",TRUE,FALSE,"De Pijp - Rivierenbuurt","Apartment","Entire home/apt",2,1,1,1,"Real Bed",150,50,2,11,98,"moderate",0.12,150
"152","N/A",TRUE,FALSE,"Zuid","Apartment","Entire home/apt",4,1,2,2,"Real Bed",100,20,2,32,95,"flexible",0.35,88
"153","within an hour",TRUE,TRUE,"De Pijp - Rivierenbuurt","Loft","Private room",4,1.5,1,4,"Real Bed",0,0,2,478,99,"moderate",5.23,225
"154","N/A",TRUE,FALSE,"Centrum-Oost","Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",500,70,1,20,100,"moderate",0.23,295
"155","within an hour",TRUE,FALSE,"De Baarsjes - Oud-West","Loft","Entire home/apt",4,1,4,4,"Real Bed",150,80,2,27,98,"moderate",0.38,275
"156","within a few hours",TRUE,TRUE,"Centrum-Oost","Apartment","Entire home/apt",2,1,1,1,"Real Bed",0,40,2,36,98,"moderate",0.4,150
"157","within an hour",TRUE,TRUE,"Watergraafsmeer","Bed and breakfast","Hotel room",2,1,1,2,"Real Bed",0,0,1,269,91,"moderate",2.97,72
"158","within an hour",TRUE,FALSE,"Oud-Oost","Townhouse","Private room",2,1,1,1,"Real Bed",100,0,2,347,98,"strict_14_with_grace_period",3.87,96
"159","N/A",TRUE,FALSE,"De Pijp - Rivierenbuurt","Apartment","Entire home/apt",4,1,2,2,"Real Bed",200,45,2,42,95,"moderate",0.46,169
"160","within an hour",TRUE,FALSE,"Oud-Oost","House","Private room",2,1.5,1,2,"Real Bed",0,25,4,100,94,"strict_14_with_grace_period",1.16,75
"161","N/A",TRUE,FALSE,"IJburg - Zeeburgereiland","Boat","Entire home/apt",4,1,3,3,"Real Bed",0,45,4,3,80,"strict_14_with_grace_period",0.06,395
"162","N/A",TRUE,FALSE,"Westerpark","Apartment","Entire home/apt",3,1,1,1,"Real Bed",0,30,2,16,99,"strict_14_with_grace_period",0.18,100
"163","within an hour",TRUE,TRUE,"Centrum-West","Serviced apartment","Hotel room",2,1.5,2,4,"Real Bed",250,65,4,98,97,"strict_14_with_grace_period",1.09,299
"164","within an hour",TRUE,TRUE,"Centrum-Oost","Apartment","Entire home/apt",2,1,1,1,"Real Bed",200,20,1,50,98,"strict_14_with_grace_period",0.61,99
"165","within an hour",TRUE,TRUE,"Centrum-Oost","Apartment","Entire home/apt",4,1.5,2,3,"Real Bed",250,55,2,182,93,"strict_14_with_grace_period",2.02,129
"166","N/A",TRUE,TRUE,"Centrum-Oost","Loft","Private room",3,1,1,2,"Real Bed",0,0,2,416,95,"strict_14_with_grace_period",4.6,170
"167","N/A",TRUE,FALSE,"Centrum-Oost","Apartment","Entire home/apt",2,1,1,1,"Real Bed",200,50,1,10,100,"strict_14_with_grace_period",0.2,300
"168","within a day",TRUE,FALSE,"De Baarsjes - Oud-West","Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",250,28,2,63,98,"strict_14_with_grace_period",0.69,188
"169","N/A",TRUE,TRUE,"Centrum-Oost","Boat","Entire home/apt",2,1.5,1,1,"Real Bed",250,40,1,114,99,"moderate",1.33,275
"170","within an hour",TRUE,TRUE,"De Pijp - Rivierenbuurt","Apartment","Private room",2,2,1,1,"Real Bed",0,25,1,126,98,"strict_14_with_grace_period",4.26,100
"171","within an hour",TRUE,TRUE,"Oud-Oost","Houseboat","Private room",2,1,1,1,"Real Bed",0,50,2,65,92,"strict_14_with_grace_period",0.73,199
"172","within a few hours",TRUE,FALSE,"Centrum-West","Loft","Entire home/apt",3,1,1,1,"Real Bed",0,35,2,108,93,"moderate",1.19,199
"173","within an hour",TRUE,FALSE,"Westerpark","Apartment","Entire home/apt",4,1,2,2,"Real Bed",400,60,1,54,96,"strict_14_with_grace_period",0.61,295
